Date,CPI_Food
2005-05-01,108.8
2005-06-01,108.8
2005-07-01,109.5
2005-08-01,110.1
2005-09-01,110.7
2005-10-01,111.2
2005-11-01,112.0
2005-12-01,112.0
2006-01-01,112.4
2006-02-01,112.4
2006-03-01,112.6
2006-04-01,112.8
2006-05-01,113.0
2006-06-01,113.8
2006-07-01,112.9
2006-08-01,112.7
2006-09-01,112.9
2006-10-01,113.5
2006-11-01,113.5
2006-12-01,113.0
2007-01-01,113.1
2007-02-01,113.6
2007-03-01,113.9
2007-04-01,113.6
2007-05-01,113.8
2007-06-01,113.9
2007-07-01,114.3
2007-08-01,114.5
2007-09-01,114.5
2007-10-01,114.4
2007-11-01,114.5
2007-12-01,115.6
2008-01-01,114.7
2008-02-01,114.7
2008-03-01,114.8
2008-04-01,114.6
2008-05-01,114.6
2008-06-01,116.6
2008-07-01,116.5
2008-08-01,117.0
2008-09-01,118.7
2008-10-01,119.2
2008-11-01,119.4
2008-12-01,118.9
2009-01-01,119.2
2009-02-01,119.4
2009-03-01,119.5
2009-04-01,119.5
2009-05-01,119.7
2009-06-01,121.6
2009-07-01,121.7
2009-08-01,121.8
2009-09-01,122.1
2009-10-01,122.3
2009-11-01,122.8
2009-12-01,122.7
2010-01-01,122.8
2010-02-01,123.2
2010-03-01,122.5
2010-04-01,122.6
2010-05-01,122.7
2010-06-01,123.2
2010-07-01,123.4
2010-08-01,123.4
2010-09-01,123.2
2010-10-01,123.5
2010-11-01,123.6
2010-12-01,123.6
2011-01-01,125.3
2011-02-01,125.4
2011-03-01,125.5
2011-04-01,125.8
2011-05-01,126.2
2011-06-01,126.8
2011-07-01,126.9
2011-08-01,127.6
2011-09-01,127.6
2011-10-01,128.4
2011-11-01,128.8
2011-12-01,129.1
2012-01-01,130.6
2012-02-01,130.8
2012-03-01,130.7
2012-04-01,131.0
2012-05-01,131.0
2012-06-01,131.4
2012-07-01,131.5
2012-08-01,131.8
2012-09-01,131.9
2012-10-01,132.2
2012-11-01,132.5
2012-12-01,132.5
2013-01-01,132.8
2013-02-01,132.9
2013-03-01,133.0
2013-04-01,133.7
2013-05-01,133.6
2013-06-01,134.3
2013-07-01,135.0
2013-08-01,135.2
2013-09-01,135.3
2013-10-01,135.5
2013-11-01,135.6
2013-12-01,136.3
2014-01-01,136.7
2014-02-01,137.1
2014-03-01,137.4
2014-04-01,138.3
2014-05-01,138.5
2014-06-01,139.4
2014-07-01,139.8
2014-08-01,140.2
2014-09-01,140.3
2014-10-01,140.3
2014-11-01,140.9
2014-12-01,141.3
2015-01-01,142.0
2015-02-01,142.1
2015-03-01,142.0
2015-04-01,142.2
2015-05-01,142.9
2015-06-01,143.0
2015-07-01,143.4
2015-08-01,143.6
2015-09-01,143.9
2015-10-01,143.8
2015-11-01,144.3
2015-12-01,144.4
2016-01-01,144.5
2016-02-01,144.6
2016-03-01,144.6
2016-04-01,145.3
2016-05-01,145.5
2016-06-01,146.0
2016-07-01,146.2
2016-08-01,146.4
2016-09-01,147.0
2016-10-01,147.2
2016-11-01,147.4
2016-12-01,147.6
2017-01-01,147.7
2017-02-01,148.7
2017-03-01,148.7
2017-04-01,148.9
2017-05-01,149.2
2017-06-01,149.3
2017-07-01,149.6
2017-08-01,149.9
2017-09-01,150.3
2017-10-01,150.8
2017-11-01,151.3
2017-12-01,151.3
2018-01-01,151.7
2018-02-01,152.0
2018-03-01,152.0
2018-04-01,152.6
2018-05-01,153.2
2018-06-01,153.5
2018-07-01,154.0
2018-08-01,154.4
2018-09-01,154.6
2018-10-01,154.8
2018-11-01,155.2
2018-12-01,155.6
2019-01-01,156.5
2019-02-01,157.0
2019-03-01,157.3
2019-04-01,157.6
2019-05-01,158.2
2019-06-01,158.7
2019-07-01,159.3
2019-08-01,159.9
2019-09-01,159.9
2019-10-01,160.4
2019-11-01,160.5
2019-12-01,160.1
2020-01-01,159.9
2020-02-01,160.0
2020-03-01,160.4
2020-04-01,162.0
2020-05-01,162.3
2020-06-01,162.8
2020-07-01,164.0
2020-08-01,164.4
2020-09-01,164.3
2020-10-01,164.9
2020-11-01,164.9
2020-12-01,165.8
2021-01-01,166.2
2021-02-01,166.4
2021-03-01,166.1
2021-04-01,167.4
2021-05-01,167.9
2021-06-01,169.6
2021-07-01,169.9
2021-08-01,170.4
2021-09-01,171.0
2021-10-01,172.8
2021-11-01,173.8
2021-12-01,173.3
2022-01-01,174.7
2022-02-01,176.9
2022-03-01,178.6
2022-04-01,181.0
2022-05-01,182.0
2022-06-01,183.6
2022-07-01,185.5
2022-08-01,186.0
2022-09-01,186.2
2022-10-01,188.8
2022-11-01,190.5
2022-12-01,190.6
2023-01-01,193.5
2023-02-01,194.3
2023-03-01,193.8
2023-04-01,197.0
2023-05-01,197.9
2023-06-01,198.8
2023-07-01,199.9
2023-08-01,201.1
2023-09-01,201.5
2023-10-01,202.3
2023-11-01,202.6
2023-12-01,202.2
2024-01-01,203.1
2024-02-01,203.8
2024-03-01,203.6
2024-04-01,203.9
2024-05-01,204.9
2024-06-01,205.4
2024-07-01,206.0
2024-08-01,205.9
2024-09-01,206.0
2024-10-01,206.2
2024-11-01,206.9
2024-12-01,202.9
2025-01-01,198.5
2025-02-01,204.2
2025-03-01,210.6
2025-04-01,211.7
2025-05-01,211.3
2025-06-01,211.1
2025-07-01,212.0
2025-08-01,212.2
2025-09-01,211.9
