Date,CPI_Food
2005-05-01,107.8
2005-06-01,108.0
2005-07-01,107.6
2005-08-01,106.3
2005-09-01,106.0
2005-10-01,106.0
2005-11-01,107.4
2005-12-01,108.1
2006-01-01,109.9
2006-02-01,109.4
2006-03-01,109.7
2006-04-01,109.3
2006-05-01,109.6
2006-06-01,110.4
2006-07-01,110.3
2006-08-01,109.5
2006-09-01,109.6
2006-10-01,110.8
2006-11-01,111.1
2006-12-01,110.9
2007-01-01,112.3
2007-02-01,115.1
2007-03-01,114.3
2007-04-01,114.4
2007-05-01,114.7
2007-06-01,114.6
2007-07-01,113.9
2007-08-01,111.8
2007-09-01,111.4
2007-10-01,111.2
2007-11-01,111.9
2007-12-01,112.7
2008-01-01,114.1
2008-02-01,114.6
2008-03-01,114.2
2008-04-01,114.7
2008-05-01,116.1
2008-06-01,117.4
2008-07-01,117.8
2008-08-01,117.9
2008-09-01,117.7
2008-10-01,118.5
2008-11-01,121.5
2008-12-01,122.1
2009-01-01,122.9
2009-02-01,124.3
2009-03-01,124.5
2009-04-01,124.5
2009-05-01,125.6
2009-06-01,125.5
2009-07-01,125.2
2009-08-01,124.0
2009-09-01,122.0
2009-10-01,121.2
2009-11-01,123.4
2009-12-01,124.0
2010-01-01,124.3
2010-02-01,125.1
2010-03-01,125.1
2010-04-01,125.6
2010-05-01,126.3
2010-06-01,126.5
2010-07-01,126.7
2010-08-01,125.8
2010-09-01,125.4
2010-10-01,124.1
2010-11-01,124.3
2010-12-01,125.6
2011-01-01,126.9
2011-02-01,127.2
2011-03-01,130.8
2011-04-01,130.0
2011-05-01,129.9
2011-06-01,130.9
2011-07-01,132.1
2011-08-01,131.2
2011-09-01,129.8
2011-10-01,129.3
2011-11-01,131.1
2011-12-01,131.2
2012-01-01,132.1
2012-02-01,132.5
2012-03-01,131.9
2012-04-01,131.8
2012-05-01,132.8
2012-06-01,133.6
2012-07-01,134.6
2012-08-01,133.7
2012-09-01,131.5
2012-10-01,131.9
2012-11-01,133.4
2012-12-01,132.9
2013-01-01,133.0
2013-02-01,135.1
2013-03-01,133.5
2013-04-01,133.5
2013-05-01,134.3
2013-06-01,134.5
2013-07-01,133.6
2013-08-01,133.3
2013-09-01,132.4
2013-10-01,131.6
2013-11-01,133.7
2013-12-01,132.1
2014-01-01,132.8
2014-02-01,134.7
2014-03-01,134.4
2014-04-01,135.4
2014-05-01,136.2
2014-06-01,137.3
2014-07-01,137.1
2014-08-01,135.6
2014-09-01,135.0
2014-10-01,135.2
2014-11-01,137.4
2014-12-01,138.6
2015-01-01,139.6
2015-02-01,140.5
2015-03-01,140.2
2015-04-01,140.9
2015-05-01,141.5
2015-06-01,141.6
2015-07-01,141.5
2015-08-01,140.9
2015-09-01,140.7
2015-10-01,141.3
2015-11-01,141.2
2015-12-01,142.0
2016-01-01,144.5
2016-02-01,146.1
2016-03-01,145.6
2016-04-01,144.0
2016-05-01,143.1
2016-06-01,141.6
2016-07-01,141.7
2016-08-01,140.1
2016-09-01,139.4
2016-10-01,138.2
2016-11-01,139.6
2016-12-01,139.2
2017-01-01,141.4
2017-02-01,140.5
2017-03-01,141.0
2017-04-01,141.1
2017-05-01,142.4
2017-06-01,143.1
2017-07-01,143.3
2017-08-01,141.8
2017-09-01,139.6
2017-10-01,138.7
2017-11-01,140.6
2017-12-01,141.4
2018-01-01,142.3
2018-02-01,142.4
2018-03-01,141.3
2018-04-01,141.5
2018-05-01,141.1
2018-06-01,142.6
2018-07-01,142.6
2018-08-01,141.1
2018-09-01,140.0
2018-10-01,139.4
2018-11-01,141.8
2018-12-01,143.8
2019-01-01,144.3
2019-02-01,145.8
2019-03-01,145.3
2019-04-01,144.4
2019-05-01,145.2
2019-06-01,146.4
2019-07-01,147.3
2019-08-01,145.9
2019-09-01,144.6
2019-10-01,143.9
2019-11-01,146.6
2019-12-01,147.8
2020-01-01,149.6
2020-02-01,149.5
2020-03-01,148.0
2020-04-01,150.6
2020-05-01,150.7
2020-06-01,151.4
2020-07-01,151.2
2020-08-01,148.9
2020-09-01,146.3
2020-10-01,148.1
2020-11-01,148.8
2020-12-01,148.2
2021-01-01,149.5
2021-02-01,152.0
2021-03-01,149.5
2021-04-01,149.9
2021-05-01,151.0
2021-06-01,150.8
2021-07-01,152.4
2021-08-01,152.1
2021-09-01,152.3
2021-10-01,153.6
2021-11-01,155.0
2021-12-01,156.4
2022-01-01,158.1
2022-02-01,161.4
2022-03-01,161.6
2022-04-01,164.3
2022-05-01,165.8
2022-06-01,165.9
2022-07-01,165.8
2022-08-01,167.7
2022-09-01,170.3
2022-10-01,171.3
2022-11-01,173.8
2022-12-01,172.9
2023-01-01,176.2
2023-02-01,177.9
2023-03-01,178.8
2023-04-01,180.0
2023-05-01,181.0
2023-06-01,182.6
2023-07-01,182.5
2023-08-01,181.2
2023-09-01,180.6
2023-10-01,180.4
2023-11-01,181.3
2023-12-01,182.3
2024-01-01,182.9
2024-02-01,182.8
2024-03-01,182.3
2024-04-01,181.7
2024-05-01,183.9
2024-06-01,182.9
2024-07-01,183.6
2024-08-01,183.8
2024-09-01,183.5
2024-10-01,181.5
2024-11-01,183.7
2024-12-01,184.0
2025-01-01,185.5
2025-02-01,185.9
2025-03-01,188.0
2025-04-01,187.7
2025-05-01,189.4
2025-06-01,188.7
2025-07-01,190.1
2025-08-01,190.1
2025-09-01,190.0
