university,program,annual_tuition_cad
McGill,Bachelor of Arts (BA),5569.78
McGill,Nursing Programs (BScNUR),5451.68
McGill,Bachelor of Arts and Science (BA&Sc),5547.64
McGill,Bachelor of Commerce (BCom),5632.68
McGill,Bachelor of Education (BEd); Bachelor of Science – Kinesiology (BSCKin); Bachelor of Arts – Education (BAEd),5501.68
McGill,Bachelor of Engineering (BEng),6016.78
McGill,Bachelor of Engineering in Bioresource Engineering (BEng(Bioresource)),5269.28
McGill,Bachelor of Music (BMUS); Licentiate in Music (LMUS),7276.5
McGill,Bachelor of Science (BSc),5509.59
McGill,Bachelor of Science (Occupational Therapy) (non-practicing),5498.14
McGill,Bachelor of Science (Physical Therapy) (non-practicing),5498.14
McGill,Bachelor of Science in Agriculture and Environmental Sciences (BSc(AgEnvSc)),5141.28
McGill,Bachelor of Science in Architecture (BSc(Arch)),5978.78
McGill,Bachelor of Science in Food Science (BSc(FSc)),5141.28
McGill,Bachelor of Science in Nutritional Sciences (BSc(NutrSc)),5141.28
McGill,Bachelor of Social Work (BSW),5457.78
McGill,Bachelor of Software Engineering (BSE),6016.78
McGill,Bachelor of Theology (BTh),5569.78
McGill,Bachelor of Civil Law (BCL) and Juris Doctor (JD),5760.32
McGill,Concurrent Bachelor of Music (BMus) and Bachelor of Education (BEd),7376.5
McGill,Farm Management and Technology (FMT),2391.72
Concordia,Faculty of Arts and Science,4690.0
Concordia,Faculty of Fine Arts,4760.0
Concordia,Gina Cody School of Engineering and Computer Science,4770.0
Concordia,John Molson School of Business,4830.0
Université de Montréal,All undergraduate programs,2177.05
Polytechnique Montréal,All undergraduate programs,3740.0
HEC Montréal,BBA with prep year,4937.12
HEC Montréal,BBA,4767.62
UQAM,All undergraduate programs,3815.6
